"","species","SeedMass"
"1","Vicia faba","855.3375"
"2","Triticum aestivum","37.0176923076923"
"3","Geranium lucidum","0.475"
"4","Arrhenatherum elatius","2.87263636363636"
"5","Phleum pratense","0.378785714285714"
"6","Dactylis glomerata","0.846644654545455"
"7","Centaurea nigra","2.43444444444444"
"8","Rubus fruticosus","2.295"
"9","Vicia tetrasperma","4.24571428571429"
"10","Lotus corniculatus","1.21033653731343"
"11","Agrostis capillaris","0.0651619047619048"
"12","Trisetum flavescens","0.4592"
"13","Cirsium dissectum","2.37"
"14","Cynosurus cristatus","0.493052923076923"
"15","Picris echioides","1.31"
"16","Chenopodium album","0.703453780487805"
"17","Fallopia convolvulus","3.42"
"18","Brachypodium sylvaticum","2.62666666666667"
"19","Glechoma hederacea","0.69"
"20","Urtica dioica","0.1262775"
"21","Poa trivialis","0.154926923076923"
"22","Senecio sylvaticus","0.177166413793103"
"23","Aethusa cynapium","1.35"
"24","Bromus hordeaceus","2.64598094117647"
"25","Succisa pratensis","1.36857142857143"
"26","Daucus carota","1.12313698630137"
"27","Trifolium repens","0.524251348837209"
"28","Agrostis stolonifera","0.0545506666666667"
"29","Trifolium dubium","0.768378230769231"
"30","Veronica chamaedrys","0.238562131578947"
"31","Lamium album","1.775"
"32","Mercurialis perennis","5.82333333333333"
"33","Rumex sanguineus","1.13"
"34","Chaerophyllum temulum","2.0118"
"35","Ranunculus repens","2.3"
"36","Deschampsia cespitosa","0.25475"
"37","Hordeum vulgare","44.3186666666667"
"38","Tripleurospermum inodorum","0.49"
"39","Prunella vulgaris","0.963407676470588"
"40","Senecio jacobaea","0.2625"
"41","Carex flacca","0.788125"
"42","Acer campestre","110.945321529412"
"43","Cirsium arvense","1.24347022727273"
"44","Senecio vulgaris","0.209043294117647"
"45","Viola arvensis","0.351833333333333"
"46","Lolium perenne","1.94402248648649"
"47","Rumex obtusifolius","1.45733333333333"
"48","Galium aparine","9.92278709523809"
"49","Holcus lanatus","0.315068275862069"
"50","Quercus robur","3146.87815385714"
"51","Carpinus betulus","43.0352868333333"
